Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7532.897207,7200.915533,6903.138229,7017.91961,7322.918443,7724.25711,6831.994244,5748.419342,6177.42266,5807.813965,6424.755754,6961.972768,7786.417002,8408.356022,9193.83106,10291.45339,11392.87662,12795.84125,14335.66902,14191.57151,14967.93559,15747.03515,16327.95841,16647.02053,17616.93967,18391.84252,20074.2857,21469.93915,22957.40013,24707.0626,24619.95089
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26858.68103,30046.98066,31952.75584,36015.8992,35799.85453,37036.25287,38249.13913,39039.89723,40105.04114,40910.71738,42181.90604,42094.58142,41932.58355,42860.48222,44185.33854,45400.8527,46200.63586,47532.85916,47847.61525,46498.8434,46872.94778,47377.49831,50675.62102,51494.41172,51101.97702,45575.78357,44768.97091,47709.77802,47503.06194,47228.10004,43739.56152
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21483.07622,20891.09535,20161.9102,20318.63165,21034.75945,22069.78193,23109.55165,24844.19035,23725.09018,26685.28672,28034.19652,28956.8955,29715.69528,29363.12194,29869.40634,31261.77357,32401.62592,33117.60507,32373.49264,30728.81809,31090.58165,31522.02023,32216.6978,31650.43901,33248.11329,33937.41876,34338.51956,35917.75703,37416.97226,37973.24725,32526.45224
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.172545,1142.640852,2236.387736,3082.427861,3605.063289,3998.543374,4600.15963,4793.952389,5196.503142,5456.187938,5944.400287,6479.662601,7404.114832,8186.569048,9028.825761,9035.264401,9355.427068,9976.459709,10304.07903,11016.56043,11433.21579,12010.71194,13072.13224,13753.83162,14916.78501,15847.13404,15732.83572
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5228.564437,5338.054364,4924.741099,4648.049139,4196.827402,3851.683478,4045.626092,4606.522435,5072.469255,5344.658214,5808.357426,6248.211382,6709.845503,7367.193779,8489.484087,9642.429793,10994.76674,12317.4565,13885.74672,14054.10602,15360.1479,16563.20141,18105.28672,18994.19019,19008.06102,18095.66518,17785.9432,18356.10077,19430.27877,20094.52581,20231.66501
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332.911876,3768.654832,4248.470736,4544.913658,4555.863539,4561.87439,4564.07958,4638.532917,4682.898019,4978.755901,5558.968227,5765.982875,5963.261358,6467.380498,6781.222276,6945.267823,7306.607131,7347.215027,7554.687908,7438.923106,7563.896568,7684.829862,7272.836587,7227.213563,7190.086108,7235.710178,7236.930959,7193.63431,7436.046107,7558.567917,6455.231821
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34886.92681,34971.77668,36007.27674,37766.72296,38536.28892,40782.29968,42337.55851,44802.77665,46729.51326,48734.22545,53983.1078,58516.59054,58183.95277,60886.12122,63560.14316,66207.25459,71580.62207,75534.9776,75121.64813,71040.17368,70620.08068,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83377.06467,85263.763,80799.51694
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2373.165181,2528.624466,2573.963696,2690.385736,2816.792611,2948.967982,3070.710189,3215.093042,3347.609944,3344.228544,3437.616428,3504.736379,3580.814335,3677.639976,3863.452021,4086.376108,4335.381717,4575.664237,4868.442641,4986.457914,5167.110319,5460.257058,5921.648907,6624.805922,7056.828364,7133.873145,7499.772741,8423.697558,8863.349161,9093.431659,8272.409814
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6696.698521,6872.636943,6872.666791,7260.168864,7722.008958,8085.722899,8282.988338,8582.069531,8575.875454,8611.902386,9060.788667,9260.768381,9568.066027,9733.773304,10445.34718,10988.96115,11642.44705,12549.931,13312.76676,13269.12211,14299.55514,15040.06109,15046.29018,15588.72613,15718.56495,14744.11363,14256.16339,14524.61354,15020.43822,15388.23492,14829.89042
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9573.679364,9475.894689,9106.128721,9361.044052,9715.488722,10078.57893,10627.58845,11282.39942,11784.20407,11944.6357,12705.12287,12630.94304,12887.82622,13368.34994,13873.89609,14816.1173,16098.21053,16820.35328,17190.94622,16374.51507,16127.81138,16304.38242,15310.11393,15334.82825,15175.49564,15510.66121,15951.95868,15789.04116,16051.25581,16300.42221,13344.59918
